timestamp,symbol,step,detail,extra
2025-07-29 15:10:23,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.500; Confidence troppo bassa; Entropia: 0.698; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.125; Buffer tick: 200
2025-07-29 15:10:23,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:23,USDJPY,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 1.000; Entropia: 0.823; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.375; Buffer tick: 200
2025-07-29 15:10:23,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.894; Entropia: 0.815; Spin: 0.200; Buffer tick: 200
2025-07-29 15:10:24,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.471; Confidence troppo bassa; Entropia: 0.707; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.111; Buffer tick: 200
2025-07-29 15:10:24,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:24,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.894; Entropia: 0.819; Spin: 0.200; Buffer tick: 200
2025-07-29 15:10:24,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.688; Confidence troppo bassa; Entropia: 0.728; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.158; Buffer tick: 200
2025-07-29 15:10:24,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:24,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.810; Spin: 0.100; Buffer tick: 200
2025-07-29 15:10:25,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 1.000; Entropia: 0.745; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.263; Buffer tick: 200
2025-07-29 15:10:25,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:25,USDJPY,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 1.000; Entropia: 0.857; Entropia alta (>= 0.275); Spin: 0.250; Buffer tick: 200
2025-07-29 15:10:25,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.810; Spin: 0.100; Buffer tick: 200
2025-07-29 15:10:25,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:25,USDJPY,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.500; Confidence troppo bassa; Entropia: 0.869; Entropia alta (>= 0.275); Spin: 0.125; Buffer tick: 200
2025-07-29 15:10:25,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.810; Spin: 0.100; Buffer tick: 200
2025-07-29 15:10:26,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.688; Confidence troppo bassa; Entropia: 0.728; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.158; Buffer tick: 200
2025-07-29 15:10:26,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:26,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.810; Spin: 0.100; Buffer tick: 200
2025-07-29 15:10:26,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.688; Confidence troppo bassa; Entropia: 0.728; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.158; Buffer tick: 200
2025-07-29 15:10:26,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
2025-07-29 15:10:26,USDCHF,trading_hours,Motivo: fuori orario di trading,Confidence: 0.447; Entropia: 0.810; Spin: 0.100; Buffer tick: 200
2025-07-29 15:10:27,EURUSD,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.688; Confidence troppo bassa; Entropia: 0.728; Entropia bassa (<= 0.825); Entropia alta (>= 0.275); Spin: 0.158; Buffer tick: 200
2025-07-29 15:10:27,SP500,signal,Motivo: nessun segnale BUY/SELL valido (HOLD o None),Confidence: 0.000; Confidence troppo bassa; Entropia: 1.000; Entropia alta (>= 0.275); Spin: 0.000; Buffer tick: 200
